Author ID,Author Name,Author URL
117002877,F. Lutz,https://www.semanticscholar.org/author/117002877
46677881,B. Englert,https://www.semanticscholar.org/author/46677881
113713283,M. Withers,https://www.semanticscholar.org/author/113713283
77165802,Petra Dannecker,https://www.semanticscholar.org/author/77165802
46535505,C. Hesketh,https://www.semanticscholar.org/author/46535505
73425254,Christine M. Klapeer,https://www.semanticscholar.org/author/73425254
103843078,P. Laskar,https://www.semanticscholar.org/author/103843078
1593088964,Maritza Bode Bakker,https://www.semanticscholar.org/author/1593088964
52631857,M. Nuijten,https://www.semanticscholar.org/author/52631857
108777467,O. Salemink,https://www.semanticscholar.org/author/108777467
114358499,Susanne Bregnbæk,https://www.semanticscholar.org/author/114358499
115336787,D. V. Hirslund,https://www.semanticscholar.org/author/115336787
3673113,Henrik E. Vigh,https://www.semanticscholar.org/author/3673113
1432695192,Helene Risør,https://www.semanticscholar.org/author/1432695192
1593300129,Ignacia Arteaga Perez,https://www.semanticscholar.org/author/1593300129
1593320374,L. De Noronha,https://www.semanticscholar.org/author/1593320374
117825050,Donette Francis,https://www.semanticscholar.org/author/117825050
70231150,I. Solanke,https://www.semanticscholar.org/author/70231150
115112731,N. Doharty,https://www.semanticscholar.org/author/115112731
3066188,A. Hussain,https://www.semanticscholar.org/author/3066188
1593098922,Rob Waters,https://www.semanticscholar.org/author/1593098922
115792358,Nina Waßmuth,https://www.semanticscholar.org/author/115792358
1410658548,Laura Marie Edinger-Schons,https://www.semanticscholar.org/author/1410658548
47539706,J. Zhang,https://www.semanticscholar.org/author/47539706
3943855,J. Dennis,https://www.semanticscholar.org/author/3943855
88529122,C. Houseman,https://www.semanticscholar.org/author/88529122
1398059592,Christopher P. Salas-Wright,https://www.semanticscholar.org/author/1398059592
1404358850,A. Perez-Gomez,https://www.semanticscholar.org/author/1404358850
1401359659,J. Mejia-Trujillo,https://www.semanticscholar.org/author/1401359659
36210253,E. Brown,https://www.semanticscholar.org/author/36210253
1467765712,Pablo A. Montero-Zamora,https://www.semanticscholar.org/author/1467765712
66606284,Carolina Scaramutti,https://www.semanticscholar.org/author/66606284
13655867,M. Soares,https://www.semanticscholar.org/author/13655867
66046484,Saskia Vos,https://www.semanticscholar.org/author/66046484
6611962,N. Javakhishvili,https://www.semanticscholar.org/author/6611962
94227593,H. Attar,https://www.semanticscholar.org/author/94227593
1456657299,Efrat Sher-Censor,https://www.semanticscholar.org/author/1456657299
1460049199,Maya Benish-Weisman,https://www.semanticscholar.org/author/1460049199
144747188,L. Gal,https://www.semanticscholar.org/author/144747188
117218614,Shlomit Karni,https://www.semanticscholar.org/author/117218614
48383355,H. Pang,https://www.semanticscholar.org/author/48383355
77244583,B. Rojas,https://www.semanticscholar.org/author/77244583
7698860,E. Cicognani,https://www.semanticscholar.org/author/7698860
16139812,C. Albanesi,https://www.semanticscholar.org/author/16139812
14450940,B. Zani,https://www.semanticscholar.org/author/14450940
112939243,Selin Karakose,https://www.semanticscholar.org/author/112939243
30755229,Ezgi Sen,https://www.semanticscholar.org/author/30755229
114725153,Chuck Thiessen,https://www.semanticscholar.org/author/114725153
118233102,Marwan Darweish,https://www.semanticscholar.org/author/118233102
72949460,M. Yarosh,https://www.semanticscholar.org/author/72949460
71783174,D. Lukic,https://www.semanticscholar.org/author/71783174
1469285189,Rosa Santibanez-Gruber,https://www.semanticscholar.org/author/1469285189
6836448,L. Caricati,https://www.semanticscholar.org/author/6836448
118366486,R. Nir,https://www.semanticscholar.org/author/118366486
13524394,D. Sophie,https://www.semanticscholar.org/author/13524394
115575439,Nelson C. Brunsting,https://www.semanticscholar.org/author/115575439
32797826,Corinne E. Zachry,https://www.semanticscholar.org/author/32797826
50499211,Risa Takeuchi,https://www.semanticscholar.org/author/50499211
50251890,A. Bernardo,https://www.semanticscholar.org/author/50251890
